event_object,event_object_type,event_object_id,relation_id
,LegalConcept,,privilege0001
,LegalConcept,,privilege0002
,LegalConcept,,privilege0003
,LegalConcept,,privilege0004
trabajadores,LegalAgent,argument0933,privilege0005
,LegalConcept,,privilege0006
,LegalConcept,,privilege0007
,LegalConcept,,privilege0008
,LegalConcept,,privilege0009
,LegalConcept,,privilege0010
,LegalConcept,,privilege0011
,LegalConcept,,privilege0012
,LegalConcept,,privilege0013
,LegalConcept,,privilege0014
,LegalConcept,,privilege0015
,LegalConcept,,privilege0016
,LegalConcept,,privilege0017
,LegalConcept,,privilege0018
,LegalConcept,,privilege0019
,LegalConcept,,privilege0020
,LegalConcept,,privilege0021
,LegalConcept,,privilege0022
,LegalConcept,,privilege0023
,LegalConcept,,privilege0024
,LegalConcept,,privilege0025
,LegalConcept,,privilege0026
,LegalConcept,,privilege0027
,LegalConcept,,privilege0028
,LegalConcept,,privilege0029
,LegalConcept,,privilege0030
,LegalConcept,,privilege0031
,LegalConcept,,privilege0032
subvenciones,LegalConcept,argument0905,privilege0033
desgravaciones,LegalConcept,argument0372,privilege0034
otras medidas,LegalConcept,argument0711,privilege0035
,LegalConcept,,privilege0036
,LegalConcept,,privilege0037
,LegalConcept,,privilege0038
,LegalConcept,,privilege0039
,LegalConcept,,privilege0040
,LegalConcept,,privilege0041
,LegalConcept,,privilege0042
,LegalConcept,,privilege0043
,LegalConcept,,privilege0044
,LegalConcept,,privilege0045
,LegalConcept,,privilege0046
,LegalConcept,,privilege0047
,LegalConcept,,privilege0048
,LegalConcept,,privilege0049
,LegalConcept,,privilege0050
,LegalConcept,,privilege0051
,LegalConcept,,privilege0052
,LegalConcept,,privilege0053
,LegalConcept,,privilege0054
,LegalConcept,,privilege0055
,LegalConcept,,privilege0056
,LegalConcept,,privilege0057
,LegalConcept,,privilege0058
,LegalConcept,,privilege0059
,LegalConcept,,privilege0060
,LegalConcept,,privilege0061
,LegalConcept,,privilege0062
,LegalConcept,,privilege0063
,LegalConcept,,privilege0064
,LegalConcept,,privilege0065
,LegalConcept,,privilege0068
,LegalConcept,,privilege0069
,LegalConcept,,privilege0070
,LegalConcept,,privilege0071
,LegalConcept,,privilege0072
,LegalConcept,,privilege0073
,LegalConcept,,privilege0074
,LegalConcept,,privilege0075
,LegalConcept,,privilege0076
,LegalConcept,,privilege0077
,LegalConcept,,privilege0078
,LegalConcept,,privilege0080
,LegalConcept,,privilege0081
,LegalConcept,,privilege0082
,LegalConcept,,privilege0083
,LegalConcept,,privilege0084
,LegalConcept,,privilege0086
,LegalConcept,,privilege0087
,LegalConcept,,privilege0088
representante legal de los trabajadores,LegalEntity,argument0848,privilege0089
,LegalConcept,,privilege0090
,LegalConcept,,privilege0091
asesoramiento del Instituto de la Mujer y para la Igualdad de Oportunidades o de los organismos de igualdad de las comunidades autónomas,LegalAgent,argument0169,privilege0092
asuntos que figuren previamente incluidos en el orden del día,LegalConcept,argument0173,privilege0093
,LegalConcept,,privilege0094
,LegalConcept,,privilege0095
empresas,LegalAgent,argument0456,privilege0096
empresas,LegalAgent,argument0456,privilege0097
empresas,LegalAgent,argument0456,privilege0098
representantes legales de los trabajadores,LegalAgent,argument0853,privilege0099
representantes legales de los trabajadores,LegalAgent,argument0853,privilege0100
representantes legales de los trabajadores,LegalAgent,argument0853,privilege0101
mediador,LegalAgent,argument0632,privilege0102
nuevo colegio,LegalConcept,argument0677,privilege0103
,LegalConcept,,privilege0104
,LegalConcept,,privilege0105
,LegalConcept,,privilege0106
,LegalConcept,,privilege0107
,LegalConcept,,privilege0108
,LegalConcept,,privilege0109
,LegalConcept,,privilege0110
,LegalConcept,,privilege0112
,LegalConcept,,privilege0113
,LegalConcept,,privilege0114
,LegalConcept,,privilege0115
,LegalConcept,,privilege0116
,LegalConcept,,privilege0117
,LegalConcept,,privilege0118
,LegalConcept,,privilege0119
,LegalConcept,,privilege0120
,LegalConcept,,privilege0121
,LegalConcept,,privilege0122
,LegalConcept,,privilege0123
,LegalConcept,,privilege0124
,LegalConcept,,privilege0125
