event_trigger,event_trigger_id,relation_id
podrá ausentarse,trigger0362,right0001
serán,trigger0624,right0002
podrá reclamar,trigger0401,right0003
tendrá derecho a recibir,trigger0661,right0004
podrán ejercer,trigger0430,right0005
podrá designar,trigger0370,right0006
tendrá la consideración de parte,trigger0669,right0007
tendrá derecho a ser informado,trigger0662,right0008
podrá sustituirlo,trigger0419,right0009
tendrán,trigger0676,right0010
tendrán derecho,trigger0677,right0011
comprenderá,trigger0063,right0012
tienen,trigger0695,right0013
podrá optar,trigger0392,right0014
será de aplicación,trigger0614,right0015
se extenderá,trigger0560,right0016
tendrá derecho a formar parte,trigger0658,right0017
tendrá derecho al traslado,trigger0666,right0018
tendrá derecho,trigger0652,right0019
tendrá derecho,trigger0652,right0020
producirá,trigger0465,right0021
producirá,trigger0465,right0022
tienen derecho a acceder,trigger0699,right0023
declarará,trigger0178,right0024
declarará,trigger0178,right0025
Se considerará,trigger0017,right0026
tendrá derecho,trigger0652,right0027
tendrá derecho a,trigger0653,right0028
pueda solicitar,trigger0474,right0029
serán reconocidos,trigger0633,right0030
serán reconocidos,trigger0633,right0031
serán reconocidos,trigger0633,right0032
realizarse,trigger0489,right0033
realizarse,trigger0489,right0034
estarán legitimados para negociar,trigger0232,right0035
tendrá derecho,trigger0652,right0036
tendrá derecho a emitir,trigger0656,right0037
tienen derecho a,trigger0698,right0038
tiene derecho a participar,trigger0693,right0039
nacerá,trigger0294,right0040
autoriza,trigger0053,right0041
autoriza,trigger0053,right0042
autoriza,trigger0053,right0043
autoriza,trigger0053,right0044
autoriza,trigger0053,right0045
se ajustará,trigger0516,right0046
se ajustará,trigger0516,right0047
se ajustará,trigger0516,right0048
tendrán derecho,trigger0677,right0049
tendrán derecho,trigger0677,right0050
podrá efectuarlo,trigger0375,right0051
podrá efectuarlo,trigger0375,right0052
podrá efectuarlo,trigger0375,right0053
podrá efectuarlo,trigger0375,right0054
podrá efectuarlo,trigger0375,right0055
podrá efectuarlo,trigger0375,right0056
podrá efectuarlo,trigger0375,right0057
podrá efectuarlo,trigger0375,right0058
podrá efectuarlo,trigger0375,right0059
podrá efectuarlo,trigger0375,right0060
podrá efectuarlo,trigger0375,right0061
podrá efectuarlo,trigger0375,right0062
tendrá derecho a ser informado y consultado,trigger0663,right0063
Tendrá prioridad de permanencia,trigger0027,right0064
Podrán contratar,trigger0009,right0065
tendrá derecho a emitir informe,trigger0657,right0066
tendrán derecho,trigger0677,right0067
tendrán derecho,trigger0677,right0068
tendrán derecho,trigger0677,right0069
tendrán derecho,trigger0677,right0070
reunirse,trigger0513,right0071
reunirse,trigger0513,right0072
reunirse,trigger0513,right0073
reunirse,trigger0513,right0074
reunirse,trigger0513,right0075
reunirse,trigger0513,right0076
reunirse,trigger0513,right0077
reunirse,trigger0513,right0078
podrá prorrogarse,trigger0396,right0079
se considerará válida,trigger0532,right0080
podrá realizar,trigger0397,right0081
podrá realizar,trigger0397,right0082
podrá realizar,trigger0397,right0083
podrá realizar,trigger0397,right0084
podrá realizar,trigger0397,right0085
podrá realizar,trigger0397,right0086
podrá realizar,trigger0397,right0087
podrá realizar,trigger0397,right0088
tendrán derecho a ausentarse,trigger0681,right0089
podrán determinar,trigger0426,right0090
tendrán derecho preferente a ocupar,trigger0686,right0091
considerará,trigger0075,right0092
resolverán,trigger0505,right0093
podrá tener,trigger0420,right0094
serán siempre revisables,trigger0638,right0095
tienen derecho,trigger0697,right0096
tienen derecho,trigger0697,right0097
hacer uso,trigger0275,right0098
podrá extender,trigger0380,right0099
tienen derecho,trigger0697,right0100
producirá,trigger0465,right0101
tendrá derecho a emitir,trigger0656,right0102
podrá verificar,trigger0423,right0103
podrá suprimir o reducir,trigger0416,right0104
estarán legitimados,trigger0231,right0105
tienen derecho,trigger0697,right0106
reconocimiento del derecho a la prestación exigirá,trigger0497,right0107
reconocimiento del derecho a la prestación exigirá,trigger0497,right0108
establecerse,trigger0215,right0109
cuando sean más favorables,trigger0099,right0110
tendrá derecho,trigger0652,right0111
tendrá derecho a Ser informado,trigger0655,right0112
tendrá,trigger0651,right0113
se orientarán prioritariamente a fomentar,trigger0575,right0114
se orientarán prioritariamente a fomentar,trigger0575,right0115
se entenderá cumplido,trigger0551,right0116
tendrá derecho,trigger0652,right0117
podrá ausentarse,trigger0362,right0118
tendrá derecho a ser informado,trigger0662,right0119
tienen derecho,trigger0697,right0120
tendrán,trigger0676,right0121
se cubrirá automáticamente,trigger0538,right0122
podrá atribuir,trigger0361,right0123
podrá atribuir,trigger0361,right0124
podrá atribuir,trigger0361,right0125
podrá pactarse,trigger0394,right0126
resultase perjudicado,trigger0512,right0127
darán derecho a,trigger0107,right0128
tienen derecho,trigger0697,right0129
estarán legitimadas para negociar,trigger0230,right0130
tienen,trigger0695,right0131
tendrá derecho,trigger0652,right0132
tienen derecho,trigger0697,right0133
Disponer,trigger0005,right0134
podrá exigir,trigger0379,right0135
tendrá derecho a la reincorporación,trigger0659,right0136
tendrán derecho a formular,trigger0682,right0137
gozarán de preferencia,trigger0265,right0138
requiere concretamente la extinción,trigger0503,right0139
tendrán derecho a acceder,trigger0679,right0140
tendrá el efecto de,trigger0667,right0141
tienen,trigger0695,right0142
podrá ser impugnada,trigger0410,right0143
podrá establecer,trigger0377,right0144
podrá establecer,trigger0377,right0145
podrá establecer,trigger0377,right0146
tiene derecho,trigger0692,right0147
pueda solicitar,trigger0474,right0148
tendrá derecho,trigger0652,right0149
Disponer de,trigger0006,right0150
tendrá derecho a emitir,trigger0656,right0151
tendrá prioridad aplicativa respecto del,trigger0673,right0152
se regirá por,trigger0594,right0153
podrá trasladar a,trigger0421,right0154
podrá ausentarse,trigger0362,right0155
tendrá derecho a ser informado y consultado,trigger0663,right0156
podrán ser revocados,trigger0442,right0157
tendrá derecho a solicitar,trigger0664,right0158
serán de aplicación,trigger0627,right0159
Resultarán elegidos,trigger0014,right0160
tendrá derecho a ser informado,trigger0662,right0161
podrá ser impugnada,trigger0410,right0162
podrá completar,trigger0364,right0163
tendrá derecho,trigger0652,right0164
podrá prorrogarse,trigger0396,right0165
ejerzan,trigger0199,right0166
ejercitado,trigger0197,right0167
tendrá derecho a Conocer,trigger0654,right0168
Disponer,trigger0005,right0169
tienen derecho,trigger0697,right0170
darán derecho a,trigger0107,right0171
podrá ausentarse,trigger0362,right0172
tendrá derecho a optar,trigger0660,right0173
estarán legitimados para negociar,trigger0232,right0174
constituyen un derecho individual,trigger0085,right0175
se entenderá por,trigger0553,right0176
tendrá derecho,trigger0652,right0177
serán compatibles,trigger0625,right0178
será computable,trigger0612,right0179
tendrá derecho a,trigger0653,right0180
resultará elegido,trigger0511,right0181
estarán legitimados,trigger0231,right0182
tendrá prioridad aplicativa,trigger0671,right0183
tienen derecho a solicitar,trigger0702,right0184
pudiendo publicar y distribuir,trigger0472,right0185
se entenderá válidamente constituida,trigger0555,right0186
contará con,trigger0086,right0187
Se presumirá existente,trigger0021,right0188
podrá impugnarla,trigger0387,right0189
podrá exigir,trigger0379,right0190
tendrán derecho a,trigger0678,right0191
tienen derecho a efectuar,trigger0700,right0192
tienen,trigger0695,right0193
tienen derecho,trigger0697,right0194
podrá efectuar,trigger0374,right0195
se podrá reclamar,trigger0581,right0196
tendrá derecho a recibir,trigger0661,right0197
tendrán derecho a,trigger0678,right0198
estarán legitimados para negociar,trigger0232,right0199
tendrán derecho,trigger0677,right0200
tienen derecho a participar,trigger0701,right0201
tendrá derecho a ser informado y consultado,trigger0663,right0202
es,trigger0213,right0203
serán reconocidos,trigger0633,right0204
es,trigger0213,right0205
se aplicarán,trigger0519,right0206
se podrán establecer,trigger0585,right0207
serán señalados,trigger0637,right0208
serán de aplicación,trigger0627,right0209
establecerse,trigger0215,right0210
tendrá derecho,trigger0652,right0211
tendrá derecho,trigger0652,right0212
estarán legitimados para negociar,trigger0232,right0213
tienen derecho,trigger0697,right0214
tendrá derecho,trigger0652,right0215
gozarán de preferencia,trigger0265,right0216
será de aplicación,trigger0614,right0217
se extinguirá,trigger0561,right0218
se incorporarán,trigger0568,right0219
cabrá,trigger0056,right0220
tendrá,trigger0651,right0221
podrá recurrir,trigger0402,right0222
tendrá derecho a,trigger0653,right0223
podrá ausentarse,trigger0362,right0224
opten por designar,trigger0342,right0225
adherirse,trigger0039,right0226
tienen derecho,trigger0697,right0227
podrá solicitar,trigger0413,right0228
tendrá derecho,trigger0652,right0229
tendrán derecho a ser destinados,trigger0685,right0230
tienen,trigger0695,right0231
estarán legitimados para negociar,trigger0232,right0232
podrá ser adoptado,trigger0409,right0233
tendrá derecho,trigger0652,right0234
transmisión,trigger0705,right0235
ceder,trigger0059,right0236
se considera,trigger0528,right0237
tienen,trigger0695,right0238
tendrá derecho a ser informado,trigger0662,right0239
podrá suspenderse,trigger0418,right0240
declarará,trigger0178,right0241
tienen derecho,trigger0697,right0242
tienen,trigger0695,right0243
tiene derecho a que se le reconozca,trigger0694,right0244
tendrán derecho a reducir,trigger0684,right0245
entrará en vigor,trigger0209,right0246
tendrá derecho,trigger0652,right0247
tendrá derecho a recibir,trigger0661,right0248
tendrán derecho a adquirir,trigger0680,right0249
tendrá derecho a suspender,trigger0665,right0250
